,co2_mean,ch4_mean,co2_mean_fit,ch4_mean_fit
139,346.92,1697.28,368.1687927246094,451.3230895996094
140,347.58,1692.01,368.2668151855469,452.0101623535156
139,346.92,1697.28,367.883544921875,453.8080749511719
140,347.58,1692.01,368.1690368652344,451.3235168457031
141,348.33,1689.77,368.2671203613281,452.0104675292969
140,347.58,1692.01,367.88385009765625,453.80853271484375
141,348.33,1689.77,368.1694030761719,451.3239440917969
142,349.34,1694.31,368.2674560546875,452.0109558105469
141,348.33,1689.77,367.88385009765625,453.8084411621094
142,349.34,1694.31,368.16937255859375,451.32391357421875
143,350.82,1695.54,368.2674560546875,452.0108947753906
142,349.34,1694.31,367.8839111328125,453.8085632324219
143,350.82,1695.54,368.1694030761719,451.3240051269531
144,351.85,1694.29,368.26751708984375,452.010986328125
143,350.82,1695.54,367.8841552734375,453.8088684082031
144,351.85,1694.29,368.1697082519531,451.3243103027344
145,351.47,1687.1,368.26776123046875,452.01129150390625
144,351.85,1694.29,367.8843994140625,453.8092346191406
145,351.47,1687.1,368.1699523925781,451.3246154785156
146,349.69,1680.58,368.2679748535156,452.0116271972656
145,351.47,1687.1,367.884521484375,453.8094177246094
146,349.69,1680.58,368.1700744628906,451.3247375488281
147,347.54,1678.28,368.26812744140625,452.0118103027344
146,349.69,1680.58,367.88427734375,453.8091125488281
147,347.54,1678.28,368.1698303222656,451.3244934082031
148,346.51,1680.98,368.26788330078125,452.0115051269531
147,347.54,1678.28,367.88385009765625,453.80853271484375
148,346.51,1680.98,368.1694030761719,451.3239440917969
149,346.87,1700.85,368.2674560546875,452.0109558105469
148,346.51,1680.98,367.8835144042969,453.80804443359375
149,346.87,1700.85,368.1690368652344,451.323486328125
150,348.16,1716.04,368.26708984375,452.0104064941406
149,346.87,1700.85,367.8834228515625,453.8079528808594
150,348.16,1716.04,368.1689758300781,451.3233642578125
151,349.46,1707.47,368.2669982910156,452.0103454589844
150,348.16,1716.04,367.88397216796875,453.8086242675781
151,349.46,1707.47,368.16949462890625,451.3240661621094
152,350.33,1697.69,368.26751708984375,452.0110168457031
151,349.46,1707.47,367.88446044921875,453.809326171875
152,350.33,1697.69,368.1700439453125,451.32470703125
153,351.39,1700.67,368.26806640625,452.0117492675781
152,350.33,1697.69,367.88446044921875,453.809326171875
153,351.39,1700.67,368.1700134277344,451.3247375488281
154,352.56,1705.39,368.26806640625,452.01171875
153,351.39,1700.67,367.8843994140625,453.8092041015625
154,352.56,1705.39,368.169921875,451.3245544433594
155,353.75,1707.56,368.2679443359375,452.0115661621094
154,352.56,1705.39,367.88458251953125,453.8094787597656
155,353.75,1707.56,368.1701354980469,451.3248596191406
156,354.38,1705.23,368.2681884765625,452.0118713378906
155,353.75,1707.56,367.88482666015625,453.8098449707031
156,354.38,1705.23,368.17041015625,451.3252258300781
157,353.86,1698.38,368.2684631347656,452.0122375488281
156,354.38,1705.23,367.88507080078125,453.8100891113281
157,353.86,1698.38,368.17059326171875,451.3254699707031
158,352.36,1687.23,368.2686767578125,452.0124816894531
157,353.86,1698.38,367.8851013183594,453.8101501464844
158,352.36,1687.23,368.1706848144531,451.3255310058594
159,350.16,1691.28,368.2687072753906,452.0125427246094
158,352.36,1687.23,367.8848876953125,453.8098449707031
159,350.16,1691.28,368.1704406738281,451.3252868652344
160,348.81,1700.7,368.2684326171875,452.0122375488281
159,350.16,1691.28,367.8843994140625,453.8092956542969
160,348.81,1700.7,368.1699523925781,451.3246765136719
161,349.12,1708.28,368.26800537109375,452.0116271972656
160,348.81,1700.7,367.88421630859375,453.8089904785156
161,349.12,1708.28,368.16973876953125,451.3243713378906
162,350.13,1719.36,368.267822265625,452.0113830566406
161,349.12,1708.28,367.88421630859375,453.8089904785156
162,350.13,1719.36,368.1697692871094,451.32440185546875
163,351.58,1725.67,368.267822265625,452.01141357421875
162,350.13,1719.36,367.8844299316406,453.8092956542969
163,351.58,1725.67,368.1700134277344,451.3246765136719
164,352.71,1720.88,368.26800537109375,452.0116882324219
163,351.58,1725.67,367.8847961425781,453.8097839355469
164,352.71,1720.88,368.1703796386719,451.3251647949219
165,353.11,1712.75,368.2684326171875,452.0121765136719
164,352.71,1720.88,367.8851318359375,453.8102722167969
165,353.11,1712.75,368.1706848144531,451.3255920410156
166,353.91,1714.97,368.2687683105469,452.01263427734375
165,353.11,1712.75,367.88519287109375,453.810302734375
166,353.91,1714.97,368.1707458496094,451.3256530761719
167,355.49,1723.46,368.268798828125,452.0127258300781
166,353.91,1714.97,367.88507080078125,453.81011962890625
167,355.49,1723.46,368.170654296875,451.3255310058594
168,356.1,1724.46,368.2686767578125,452.0125427246094
167,355.49,1723.46,367.88525390625,453.8103332519531
168,356.1,1724.46,368.1708068847656,451.3257141113281
169,355.37,1713.1,368.26885986328125,452.0127258300781
168,356.1,1724.46,367.8856201171875,453.810791015625
169,355.37,1713.1,368.171142578125,451.3262023925781
170,353.95,1699.86,368.26922607421875,452.0132141113281
169,355.37,1713.1,367.8857421875,453.8109436035156
170,353.95,1699.86,368.1712646484375,451.3263244628906
171,351.4,1706.74,368.2693176269531,452.0133361816406
170,353.95,1699.86,367.8854064941406,453.810546875
171,351.4,1706.74,368.1709289550781,451.3258972167969
172,349.56,1720.76,368.26898193359375,452.0129089355469
171,351.4,1706.74,367.88494873046875,453.8099365234375
172,349.56,1720.76,368.17047119140625,451.3252868652344
173,349.94,1721.99,368.26849365234375,452.0122985839844
172,349.56,1720.76,367.8847351074219,453.8096618652344
173,349.94,1721.99,368.1702575683594,451.3250427246094
174,351.58,1726.29,368.2683410644531,452.0120544433594
173,349.94,1721.99,367.884765625,453.8097839355469
174,351.58,1726.29,368.1703186035156,451.3251037597656
175,352.91,1730.64,368.26837158203125,452.0121765136719
174,351.58,1726.29,367.88482666015625,453.8098449707031
175,352.91,1730.64,368.1703796386719,451.3252258300781
176,354.08,1727.95,368.2684631347656,452.01220703125
175,352.91,1730.64,367.8851623535156,453.8102111816406
176,354.08,1727.95,368.1707458496094,451.32562255859375
177,355.18,1728.59,368.2687683105469,452.0126647949219
