,co2_mean,ch4_mean,sf6_mean,co2_mean_fit,ch4_mean_fit,sf6_mean_fit
15,325.56,1627.678184516175,-3.2371149205575307,52.096771240234375,52.23531723022461,2.725177049636841
14,324.06,1628.226166853041,-3.275710248932569,54.46446990966797,52.621158599853516,2.690349578857422
15,325.56,1627.678184516175,-3.2371149205575307,50.43760299682617,53.01663589477539,2.7006547451019287
16,332.29,1654.7462507473829,-1.8122835464508569,52.097347259521484,52.23588562011719,2.725278854370117
15,325.56,1627.678184516175,-3.2371149205575307,54.4635124206543,52.62025451660156,2.690288782119751
16,332.29,1654.7462507473829,-1.8122835464508569,50.4366569519043,53.01558303833008,2.700594902038574
17,331.04,1656.4338053467654,-1.7948393893192076,52.096290588378906,52.2348518371582,2.7251758575439453
16,332.29,1654.7462507473829,-1.8122835464508569,54.462432861328125,52.6192512512207,2.690216302871704
17,331.04,1656.4338053467654,-1.7948393893192076,50.43559646606445,53.01439666748047,2.700518846511841
18,329.67,1658.218910648844,-1.7783181923870188,52.09513473510742,52.23368835449219,2.7250561714172363
17,331.04,1656.4338053467654,-1.7948393893192076,54.46820068359375,52.62449645996094,2.692476511001587
18,329.67,1658.218910648844,-1.7783181923870188,50.44068145751953,53.019874572753906,2.703256845474243
19,329.33,1659.1667057529776,-1.753874920407469,52.10103225708008,52.23964309692383,2.7273590564727783
18,329.67,1658.218910648844,-1.7783181923870188,54.469482421875,52.62569046020508,2.692639112472534
19,329.33,1659.1667057529776,-1.753874920407469,50.44191360473633,53.021236419677734,2.703441858291626
20,330.47,1658.9113755241415,-1.7180484726315512,52.1024055480957,52.24102020263672,2.7275569438934326
19,329.33,1659.1667057529776,-1.753874920407469,54.4708366394043,52.62694549560547,2.6928083896636963
20,330.47,1658.9113755241415,-1.7180484726315512,50.44320297241211,53.02265930175781,2.7036309242248535
21,331.97,1658.3633931872755,-1.6794531442564846,52.10383987426758,52.24245834350586,2.7277603149414062
20,330.47,1658.9113755241415,-1.7180484726315512,54.471336364746094,52.62739562988281,2.6928935050964355
21,331.97,1658.3633931872755,-1.6794531442564846,50.44368362426758,53.0231819152832,2.7037293910980225
22,332.77,1666.8901452571517,-1.7154754886980754,52.10436248779297,52.24299240112305,2.727853775024414
21,331.97,1658.3633931872755,-1.6794531442564846,54.47066879272461,52.62677764892578,2.6928601264953613
22,332.77,1666.8901452571517,-1.7154754886980754,50.44301223754883,53.022422790527344,2.7037057876586914
23,333.1,1661.1901747461234,-1.6642273616794796,52.10363006591797,52.24225616455078,2.727794885635376
22,332.77,1666.8901452571517,-1.7154754886980754,54.46969223022461,52.62586212158203,2.6927969455718994
23,333.1,1661.1901747461234,-1.6642273616794796,50.44205093383789,53.02133560180664,2.7036476135253906
24,334.07,1669.2360219514885,-1.6627457677235213,52.10256576538086,52.24119567871094,2.7276947498321533
23,333.1,1661.1901747461234,-1.6642273616794796,54.47157287597656,52.627628326416016,2.6935319900512695
24,334.07,1669.2360219514885,-1.6627457677235213,50.44355010986328,53.02303695678711,2.704209566116333
25,335.78,1666.2802521286721,-1.567948628423295,52.1043701171875,52.242919921875,2.7280681133270264
24,334.07,1669.2360219514885,-1.6627457677235213,54.46979522705078,52.625972747802734,2.6930296421051025
25,335.78,1666.2802521286721,-1.567948628423295,50.442039489746094,53.02134704589844,2.7038121223449707
26,336.49,1661.0896729260057,-1.5346227639709582,52.10261154174805,52.2412109375,2.727783679962158
25,335.78,1666.2802521286721,-1.567948628423295,54.471500396728516,52.62755584716797,2.6937179565429688
26,336.49,1661.0896729260057,-1.5346227639709582,50.44338607788086,53.02284240722656,2.704369068145752
27,335.96,1656.8820948714856,-1.5371890033398188,52.10422897338867,52.24276351928711,2.7281458377838135
26,336.49,1661.0896729260057,-1.5346227639709582,54.46969985961914,52.6258659362793,2.693436622619629
27,335.96,1656.8820948714856,-1.5371890033398188,50.44173049926758,53.02098083496094,2.7041501998901367
28,334.64,1661.5684313057718,-1.473203686320602,52.10234832763672,52.240928649902344,2.72794246673584
27,335.96,1656.8820948714856,-1.5371890033398188,54.467735290527344,52.624019622802734,2.6929681301116943
28,334.64,1661.5684313057718,-1.473203686320602,50.43999481201172,53.01908874511719,2.7037477493286133
29,332.31,1662.6615385191471,-1.4489557746402681,52.100379943847656,52.23897933959961,2.7276365756988525
28,334.64,1661.5684313057718,-1.473203686320602,54.46681594848633,52.62316131591797,2.6926023960113525
